model,best_img_size,f1_macro_mean,source_model_path,best_model_path
resnet101,224,0.7758195011692194,/scratch/slurm/adriancr/449/tmp/classification-449/code/artifacts/final_model/resnet101_img224_final.keras,/scratch/slurm/adriancr/449/tmp/classification-449/code/artifacts/final_model/resnet101_best_final.keras
vgg19,224,0.7620879164336718,/scratch/slurm/adriancr/449/tmp/classification-449/code/artifacts/final_model/vgg19_img224_final.keras,/scratch/slurm/adriancr/449/tmp/classification-449/code/artifacts/final_model/vgg19_best_final.keras
resnet50,224,0.7559222108837143,/scratch/slurm/adriancr/449/tmp/classification-449/code/artifacts/final_model/resnet50_img224_final.keras,/scratch/slurm/adriancr/449/tmp/classification-449/code/artifacts/final_model/resnet50_best_final.keras
vgg16,224,0.7418534067409691,/scratch/slurm/adriancr/449/tmp/classification-449/code/artifacts/final_model/vgg16_img224_final.keras,/scratch/slurm/adriancr/449/tmp/classification-449/code/artifacts/final_model/vgg16_best_final.keras
efficientnetb5,224,0.7365687643010266,/scratch/slurm/adriancr/449/tmp/classification-449/code/artifacts/final_model/efficientnetb5_img224_final.keras,/scratch/slurm/adriancr/449/tmp/classification-449/code/artifacts/final_model/efficientnetb5_best_final.keras
efficientnetb3,224,0.7324421628734991,/scratch/slurm/adriancr/449/tmp/classification-449/code/artifacts/final_model/efficientnetb3_img224_final.keras,/scratch/slurm/adriancr/449/tmp/classification-449/code/artifacts/final_model/efficientnetb3_best_final.keras
mobilenetv3large,224,0.7205066647002829,/scratch/slurm/adriancr/449/tmp/classification-449/code/artifacts/final_model/mobilenetv3large_img224_final.keras,/scratch/slurm/adriancr/449/tmp/classification-449/code/artifacts/final_model/mobilenetv3large_best_final.keras
densenet121,224,0.7193881410078968,/scratch/slurm/adriancr/449/tmp/classification-449/code/artifacts/final_model/densenet121_img224_final.keras,/scratch/slurm/adriancr/449/tmp/classification-449/code/artifacts/final_model/densenet121_best_final.keras
efficientnetb0,224,0.7057411473305101,/scratch/slurm/adriancr/449/tmp/classification-449/code/artifacts/final_model/efficientnetb0_img224_final.keras,/scratch/slurm/adriancr/449/tmp/classification-449/code/artifacts/final_model/efficientnetb0_best_final.keras
mobilenetv2,224,0.6859400731317322,/scratch/slurm/adriancr/449/tmp/classification-449/code/artifacts/final_model/mobilenetv2_img224_final.keras,/scratch/slurm/adriancr/449/tmp/classification-449/code/artifacts/final_model/mobilenetv2_best_final.keras
inceptionv3,224,0.6373736370472398,/scratch/slurm/adriancr/449/tmp/classification-449/code/artifacts/final_model/inceptionv3_img224_final.keras,/scratch/slurm/adriancr/449/tmp/classification-449/code/artifacts/final_model/inceptionv3_best_final.keras
