model,img_size,fold,f1_macro,f1_weighted,accuracy,precision_macro,recall_macro,precision_per_class,recall_per_class,f1_per_class
mobilenetv2,192,1,0.6685505333683084,0.824708574809412,0.8149779735682819,0.6245700141098623,0.7389929565292541,"[0.6, 0.8387096774193549, 0.6, 0.9485294117647058, 0.23076923076923078, 0.5294117647058824]","[0.631578947368421, 0.896551724137931, 0.8571428571428571, 0.8486842105263158, 0.3, 0.9]","[0.6153846153846154, 0.8666666666666667, 0.7058823529411765, 0.8958333333333334, 0.2608695652173913, 0.6666666666666666]"
mobilenetv2,192,2,0.65547093662231,0.8264495229999598,0.8237885462555066,0.6851256980567325,0.6698361630303554,"[0.5151515151515151, 0.896551724137931, 0.5714285714285714, 0.9230769230769231, 0.75, 0.45454545454545453]","[0.8947368421052632, 0.896551724137931, 0.5714285714285714, 0.868421052631579, 0.3333333333333333, 0.45454545454545453]","[0.6538461538461539, 0.896551724137931, 0.5714285714285714, 0.8949152542372881, 0.46153846153846156, 0.45454545454545453]"
mobilenetv2,192,3,0.6330015395232786,0.805192146573447,0.7876106194690266,0.6019635920836439,0.6961043653194289,"[0.6521739130434783, 0.9615384615384616, 0.4444444444444444, 0.917910447761194, 0.2857142857142857, 0.35]","[0.7894736842105263, 0.8620689655172413, 0.5714285714285714, 0.8092105263157895, 0.4444444444444444, 0.7]","[0.7142857142857143, 0.9090909090909091, 0.5, 0.8601398601398601, 0.34782608695652173, 0.4666666666666667]"
mobilenetv2,192,4,0.7130357946147421,0.8738954261078155,0.8628318584070797,0.6802247554369796,0.7943539404065719,"[0.9, 0.9354838709677419, 0.4, 0.9774436090225563, 0.3684210526315789, 0.5]","[0.9473684210526315, 1.0, 0.2857142857142857, 0.8552631578947368, 0.7777777777777778, 0.9]","[0.9230769230769231, 0.9666666666666667, 0.3333333333333333, 0.9122807017543859, 0.5, 0.6428571428571429]"
mobilenetv2,192,5,0.672375426440467,0.8465767909972529,0.8407079646017699,0.6625755077998371,0.7372082166199814,"[0.6956521739130435, 0.9615384615384616, 0.375, 0.9432624113475178, 0.5, 0.5]","[0.8888888888888888, 0.8928571428571429, 0.75, 0.869281045751634, 0.2222222222222222, 0.8]","[0.7804878048780488, 0.9259259259259259, 0.5, 0.9047619047619048, 0.3076923076923077, 0.6153846153846154]"
mobilenetv2,192,6,0.6438229896357975,0.8239199580923937,0.8193832599118943,0.622220354250466,0.6752884366087634,"[0.6153846153846154, 0.8620689655172413, 0.3333333333333333, 0.9225352112676056, 0.5, 0.5]","[0.8421052631578947, 0.8620689655172413, 0.2857142857142857, 0.8618421052631579, 0.6, 0.6]","[0.7111111111111111, 0.8620689655172413, 0.3076923076923077, 0.891156462585034, 0.5454545454545454, 0.5454545454545454]"
mobilenetv2,192,7,0.7283933386874564,0.8652525025289991,0.8590308370044053,0.707133198106829,0.7665414297673826,"[0.8, 1.0, 0.6, 0.9310344827586207, 0.5, 0.4117647058823529]","[0.8421052631578947, 0.9310344827586207, 0.8571428571428571, 0.8881578947368421, 0.4444444444444444, 0.6363636363636364]","[0.8205128205128205, 0.9642857142857143, 0.7058823529411765, 0.9090909090909091, 0.47058823529411764, 0.5]"
mobilenetv2,192,8,0.5749535483404052,0.7931964512885467,0.7787610619469026,0.5653079668869142,0.6019798058364302,"[0.5789473684210527, 0.88, 0.2857142857142857, 0.9090909090909091, 0.16666666666666666, 0.5714285714285714]","[0.5789473684210527, 0.7586206896551724, 0.2857142857142857, 0.8552631578947368, 0.3333333333333333, 0.8]","[0.5789473684210527, 0.8148148148148148, 0.2857142857142857, 0.8813559322033898, 0.2222222222222222, 0.6666666666666666]"
mobilenetv2,192,9,0.7255352844345592,0.8801439591110978,0.8761061946902655,0.7302098915876005,0.7469159008632693,"[0.7894736842105263, 0.8529411764705882, 0.75, 0.965034965034965, 0.35714285714285715, 0.6666666666666666]","[0.7894736842105263, 1.0, 0.42857142857142855, 0.9078947368421053, 0.5555555555555556, 0.8]","[0.7894736842105263, 0.9206349206349206, 0.5454545454545454, 0.9355932203389831, 0.43478260869565216, 0.7272727272727273]"
mobilenetv2,192,10,0.674531653154797,0.826314035667917,0.8097345132743363,0.6344494047619048,0.774630407718643,"[0.625, 1.0, 0.42857142857142855, 0.953125, 0.35, 0.45]","[0.8333333333333334, 0.9642857142857143, 0.375, 0.7973856209150327, 0.7777777777777778, 0.9]","[0.7142857142857143, 0.9818181818181818, 0.4, 0.8683274021352313, 0.4827586206896552, 0.6]"
