model,img_size,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std,acc_mean,acc_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,runs
resnet101,224,0.7758195011692194,0.03516469124566002,0.8917223316471108,0.017796121826318803,0.8884033111119775,0.020341332586992843,0.7699265907024134,0.04602398935323164,0.7986195155251417,0.03623555062925394,15
vgg19,224,0.7620879164336718,0.04916632773593667,0.8866903917755494,0.023881598610239564,0.8810403752940107,0.027985674831688002,0.7548813484227054,0.059520062572736954,0.7896563044791756,0.041618061979772074,15
resnet50,224,0.7559222108837143,0.03544627484771807,0.8905049852772007,0.016987515512576358,0.8875118578872819,0.01859163828185,0.7469391312638399,0.03846440905376307,0.7817706202232555,0.039635026114694175,15
resnet101,192,0.7553568065062137,0.047916611623952644,0.8823366736534748,0.021490186441929328,0.878405000454823,0.02478960450703202,0.7582525450705727,0.04471004973437569,0.777725840475209,0.050141046515998225,15
vgg19,192,0.7460509619966031,0.043099761315342,0.8798776225122026,0.025292293637376607,0.8745662937117462,0.028561329659323936,0.7368880328254842,0.05562127582727581,0.7757889606495529,0.043977468932675554,15
vgg16,224,0.7418534067409691,0.04222491216226996,0.8731346512254311,0.023334366085837634,0.8675165360674699,0.025304541181344193,0.7324938158412448,0.04627799186078563,0.770507796945735,0.046625832036418284,15
resnet50,192,0.739778725514553,0.045306004553762484,0.8818225644371587,0.020002301539117313,0.8798500383350876,0.02001228250121476,0.737764164396134,0.04848987420871819,0.7570121511546194,0.04998165684754093,15
vgg16,192,0.7369726226615303,0.04364498204574895,0.8688599263276781,0.022866083981371757,0.8624705989370135,0.02531889090312206,0.7242717259732275,0.044964661627966536,0.7730095101708211,0.050409488989508734,15
efficientnetb5,224,0.7365687643010266,0.03589447615799645,0.8752094515543889,0.01998634719682985,0.8669135706210284,0.022499346691186414,0.7123255278815086,0.0388345215510212,0.7863804300004968,0.03965347896931406,15
efficientnetb5,192,0.7327629900816552,0.04736307311759866,0.866925976900717,0.02775396411848889,0.8557184255324679,0.033022782018312,0.7068408809492308,0.05137957252616087,0.7889584226939659,0.037423890178358926,15
efficientnetb3,224,0.7324421628734991,0.021134236517093702,0.8644811648709526,0.016661028943028847,0.8524839837303289,0.01999604460675174,0.6967266710169077,0.025864608752838313,0.7999601929780571,0.027069255179246122,15
efficientnetb3,192,0.7237146276083607,0.025945580932308827,0.8590190624339968,0.018204082278367135,0.8463035879043052,0.02179706868300137,0.6889235358472592,0.031908920852060235,0.7939676710112816,0.026118932658897157,15
mobilenetv3large,224,0.7205066647002829,0.03891163729977803,0.8705965814395432,0.021523828130225766,0.8607357737839981,0.0240340436008124,0.6941217822462825,0.03773264428276514,0.7744100407399758,0.04694285573573263,15
densenet121,224,0.7193881410078968,0.046098239930619296,0.862566846736779,0.02274660482387303,0.8509895650591921,0.02724382777216868,0.6885827702119957,0.049045105357294866,0.7837334057957879,0.04446822590505901,15
mobilenetv3large,192,0.7089345746564878,0.045247722411189954,0.858286410261471,0.022824720923311833,0.8454160331630994,0.02581420013994478,0.6800872927751289,0.0440107135441623,0.7735712447792977,0.051341435648538276,15
efficientnetb0,224,0.7057411473305101,0.02798060359713938,0.8491416081767674,0.015352633398915641,0.835707509778696,0.017044294159176306,0.6679605560028875,0.029162710717295093,0.7788076974848797,0.03749924423867644,15
densenet121,192,0.7046993371954956,0.04259066926110588,0.8584740639647725,0.021036461391702455,0.8471716502280613,0.02618631876907328,0.6741462024242465,0.04653725770468068,0.7655001599654815,0.044866448285923864,15
mobilenetv2,224,0.6859400731317322,0.046399828126383276,0.8465049309439892,0.024461297724267927,0.835997297051447,0.02814146319623076,0.6607251845063923,0.05258503616147029,0.7436278418435638,0.039932640075404785,15
efficientnetb0,192,0.679574265563266,0.04238766422734148,0.8348500036687734,0.02588370164023613,0.8195314022845114,0.030323676485377798,0.6413648995661988,0.040709778503998116,0.758524725386314,0.05308266307332085,15
mobilenetv2,192,0.667379309285203,0.03986460481116686,0.8353641399936034,0.024694677813094458,0.8259781944823463,0.027145491368605782,0.6492141559266486,0.04223572631781193,0.7192625910960668,0.05052250225187707,15
inceptionv3,224,0.6373736370472398,0.036121629741133275,0.8177825172610848,0.02039955809269455,0.8083063688225283,0.022422560228059843,0.6156336692317119,0.03355584134034095,0.6803699920880805,0.042845272272980454,15
inceptionv3,192,0.6223890562741338,0.05562527028629999,0.8036854595138135,0.03613621932678267,0.7900237807492885,0.041765319402376405,0.6027878408293961,0.056175261415563206,0.670632298505328,0.05625763413351547,15
