model,best_img_size,f1_macro_mean,source_model_path,best_model_path
efficientnetb5_cbam,224,0.7685044644442919,/scratch/slurm/adriancr/466/tmp/cbam-466/code/artifacts_cbam/final_model/efficientnetb5_cbam_img224_final.keras,/scratch/slurm/adriancr/466/tmp/cbam-466/code/artifacts_cbam/final_model/efficientnetb5_cbam_best_final.keras
efficientnetb3_cbam,224,0.7625262262748304,/scratch/slurm/adriancr/466/tmp/cbam-466/code/artifacts_cbam/final_model/efficientnetb3_cbam_img224_final.keras,/scratch/slurm/adriancr/466/tmp/cbam-466/code/artifacts_cbam/final_model/efficientnetb3_cbam_best_final.keras
efficientnetb0_cbam,224,0.7421074525810134,/scratch/slurm/adriancr/466/tmp/cbam-466/code/artifacts_cbam/final_model/efficientnetb0_cbam_img224_final.keras,/scratch/slurm/adriancr/466/tmp/cbam-466/code/artifacts_cbam/final_model/efficientnetb0_cbam_best_final.keras
mobilenetv3large_cbam,224,0.7345454179848143,/scratch/slurm/adriancr/466/tmp/cbam-466/code/artifacts_cbam/final_model/mobilenetv3large_cbam_img224_final.keras,/scratch/slurm/adriancr/466/tmp/cbam-466/code/artifacts_cbam/final_model/mobilenetv3large_cbam_best_final.keras
resnet101_cbam,224,0.7322389802201836,/scratch/slurm/adriancr/466/tmp/cbam-466/code/artifacts_cbam/final_model/resnet101_cbam_img224_final.keras,/scratch/slurm/adriancr/466/tmp/cbam-466/code/artifacts_cbam/final_model/resnet101_cbam_best_final.keras
resnet50_cbam,224,0.7260201969369732,/scratch/slurm/adriancr/466/tmp/cbam-466/code/artifacts_cbam/final_model/resnet50_cbam_img224_final.keras,/scratch/slurm/adriancr/466/tmp/cbam-466/code/artifacts_cbam/final_model/resnet50_cbam_best_final.keras
densenet121_cbam,224,0.7015419993858579,/scratch/slurm/adriancr/466/tmp/cbam-466/code/artifacts_cbam/final_model/densenet121_cbam_img224_final.keras,/scratch/slurm/adriancr/466/tmp/cbam-466/code/artifacts_cbam/final_model/densenet121_cbam_best_final.keras
mobilenetv2_cbam,224,0.6995526787769785,/scratch/slurm/adriancr/466/tmp/cbam-466/code/artifacts_cbam/final_model/mobilenetv2_cbam_img224_final.keras,/scratch/slurm/adriancr/466/tmp/cbam-466/code/artifacts_cbam/final_model/mobilenetv2_cbam_best_final.keras
vgg16_cbam,192,0.6452523572436075,/scratch/slurm/adriancr/466/tmp/cbam-466/code/artifacts_cbam/final_model/vgg16_cbam_img192_final.keras,/scratch/slurm/adriancr/466/tmp/cbam-466/code/artifacts_cbam/final_model/vgg16_cbam_best_final.keras
inceptionv3_cbam,224,0.6431058119587588,/scratch/slurm/adriancr/466/tmp/cbam-466/code/artifacts_cbam/final_model/inceptionv3_cbam_img224_final.keras,/scratch/slurm/adriancr/466/tmp/cbam-466/code/artifacts_cbam/final_model/inceptionv3_cbam_best_final.keras
vgg19_cbam,224,0.6254460309292853,/scratch/slurm/adriancr/466/tmp/cbam-466/code/artifacts_cbam/final_model/vgg19_cbam_img224_final.keras,/scratch/slurm/adriancr/466/tmp/cbam-466/code/artifacts_cbam/final_model/vgg19_cbam_best_final.keras
