model,img_size,fold,f1_macro,f1_weighted,accuracy,precision_macro,recall_macro,precision_per_class,recall_per_class,f1_per_class
mobilenetv2_cbam,192,1,0.6472598764664428,0.8307283651462467,0.8281938325991189,0.6706475198924863,0.67598090052718,"[0.625, 0.8846153846153846, 0.6, 0.9261744966442953, 0.5714285714285714, 0.4166666666666667]","[0.5263157894736842, 0.7931034482758621, 0.42857142857142855, 0.9078947368421053, 0.4, 1.0]","[0.5714285714285714, 0.8363636363636363, 0.5, 0.9169435215946844, 0.47058823529411764, 0.5882352941176471]"
mobilenetv2_cbam,192,2,0.6581332768893148,0.8282977782073804,0.8193832599118943,0.6298057810436143,0.7222742724103886,"[0.6818181818181818, 0.8928571428571429, 0.42857142857142855, 0.935251798561151, 0.42857142857142855, 0.4117647058823529]","[0.7894736842105263, 0.8620689655172413, 0.8571428571428571, 0.8552631578947368, 0.3333333333333333, 0.6363636363636364]","[0.7317073170731707, 0.8771929824561403, 0.5714285714285714, 0.8934707903780069, 0.375, 0.5]"
mobilenetv2_cbam,192,3,0.6388701454490927,0.8272769511707565,0.831858407079646,0.6776086523125997,0.6160116526949558,"[0.5789473684210527, 0.96, 0.5, 0.88125, 0.6, 0.5454545454545454]","[0.5789473684210527, 0.8275862068965517, 0.42857142857142855, 0.9276315789473685, 0.3333333333333333, 0.6]","[0.5789473684210527, 0.8888888888888888, 0.46153846153846156, 0.9038461538461539, 0.42857142857142855, 0.5714285714285714]"
mobilenetv2_cbam,192,4,0.7758277649985365,0.9036858441358868,0.9026548672566371,0.7607306957870867,0.804744500139237,"[0.8421052631578947, 0.9666666666666667, 0.625, 0.9591836734693877, 0.5714285714285714, 0.6]","[0.8421052631578947, 1.0, 0.7142857142857143, 0.9276315789473685, 0.4444444444444444, 0.9]","[0.8421052631578947, 0.9830508474576272, 0.6666666666666666, 0.9431438127090301, 0.5, 0.72]"
mobilenetv2_cbam,192,5,0.6744091027192195,0.8426833256267279,0.8407079646017699,0.7008547008547009,0.669833488951136,"[0.8333333333333334, 0.9615384615384616, 0.6666666666666666, 0.8974358974358975, 0.38461538461538464, 0.46153846153846156]","[0.5555555555555556, 0.8928571428571429, 0.5, 0.9150326797385621, 0.5555555555555556, 0.6]","[0.6666666666666666, 0.9259259259259259, 0.5714285714285714, 0.9061488673139159, 0.45454545454545453, 0.5217391304347826]"
mobilenetv2_cbam,192,6,0.6465532791739311,0.8156625791892792,0.801762114537445,0.6140250260688217,0.7111453201970442,"[0.75, 0.8571428571428571, 0.3333333333333333, 0.927007299270073, 0.4166666666666667, 0.4]","[0.7894736842105263, 0.8275862068965517, 0.7142857142857143, 0.8355263157894737, 0.5, 0.6]","[0.7692307692307693, 0.8421052631578947, 0.45454545454545453, 0.8788927335640139, 0.45454545454545453, 0.48]"
mobilenetv2_cbam,192,7,0.7224183742623289,0.8698009861460161,0.8590308370044053,0.6826964974023797,0.8120612834768915,"[0.8235294117647058, 0.9333333333333333, 0.46153846153846156, 0.9777777777777777, 0.4, 0.5]","[0.7368421052631579, 0.9655172413793104, 0.8571428571428571, 0.868421052631579, 0.4444444444444444, 1.0]","[0.7777777777777778, 0.9491525423728814, 0.6, 0.9198606271777003, 0.42105263157894735, 0.6666666666666666]"
mobilenetv2_cbam,192,8,0.5799956209465348,0.7906599742633237,0.7787610619469026,0.5824380933076586,0.6349477621256207,"[0.5833333333333334, 0.8846153846153846, 0.25, 0.9130434782608695, 0.5, 0.36363636363636365]","[0.7368421052631579, 0.7931034482758621, 0.42857142857142855, 0.8289473684210527, 0.2222222222222222, 0.8]","[0.6511627906976745, 0.8363636363636363, 0.3157894736842105, 0.8689655172413793, 0.3076923076923077, 0.5]"
mobilenetv2_cbam,192,9,0.7619208830763192,0.8816630426793517,0.8761061946902655,0.7725524475524476,0.7872769807660914,"[0.7272727272727273, 0.9, 1.0, 0.958041958041958, 0.4666666666666667, 0.5833333333333334]","[0.8421052631578947, 0.9310344827586207, 0.5714285714285714, 0.9013157894736842, 0.7777777777777778, 0.7]","[0.7804878048780488, 0.9152542372881356, 0.7272727272727273, 0.9288135593220339, 0.5833333333333334, 0.6363636363636364]"
mobilenetv2_cbam,192,10,0.6506401074694758,0.8354724632610903,0.8495575221238938,0.7446789321789322,0.6404256146903206,"[1.0, 0.9642857142857143, 0.5, 0.8787878787878788, 0.5, 0.625]","[0.2777777777777778, 0.9642857142857143, 0.375, 0.9477124183006536, 0.7777777777777778, 0.5]","[0.43478260869565216, 0.9642857142857143, 0.42857142857142855, 0.9119496855345912, 0.6086956521739131, 0.5555555555555556]"
mobilenetv2_cbam,192,11,0.717348853416965,0.8520362249825842,0.8502202643171806,0.7296289078325692,0.715750583354939,"[0.5217391304347826, 0.9230769230769231, 0.7142857142857143, 0.9210526315789473, 0.7142857142857143, 0.5833333333333334]","[0.631578947368421, 0.8275862068965517, 0.7142857142857143, 0.9210526315789473, 0.5, 0.7]","[0.5714285714285714, 0.8727272727272727, 0.7142857142857143, 0.9210526315789473, 0.5882352941176471, 0.6363636363636364]"
