model,img_size,strategy,class_compatible,base_model_path,before_f1_macro,after_f1_macro,delta_f1_macro,before_f1_weighted,after_f1_weighted,delta_f1_weighted,before_accuracy,after_accuracy,delta_accuracy,before_precision_macro,after_precision_macro,delta_precision_macro,before_recall_macro,after_recall_macro,delta_recall_macro
densenet121,192,fine_tune_all,False,/scratch/slurm/adriancr/459/tmp/tl-459/code/artifacts/final_model/densenet121_img192_final.keras,0.4880952380952381,0.9277777777777777,0.4396825396825396,0.6537966537966537,0.9183183183183184,0.2645216645216647,0.6486486486486487,0.918918918918919,0.2702702702702703,0.5,0.9504830917874396,0.4504830917874396,0.48712121212121207,0.9108585858585859,0.42373737373737386
mobilenetv3large,224,fine_tune_all,False,/scratch/slurm/adriancr/459/tmp/tl-459/code/artifacts/final_model/mobilenetv3large_img224_final.keras,0.3917004048582996,0.9217914438502675,0.5300910389919679,0.5346317977896925,0.917762682468565,0.38313088467887246,0.5135135135135135,0.918918918918919,0.4054054054054055,0.390625,0.915719696969697,0.525094696969697,0.4138888888888889,0.9330808080808081,0.5191919191919192
mobilenetv2,224,fine_tune_last,False,/scratch/slurm/adriancr/459/tmp/tl-459/code/artifacts/final_model/mobilenetv2_img224_final.keras,0.6765795206971678,0.9027777777777779,0.22619825708061014,0.6550079491255961,0.9156156156156157,0.26060766649001954,0.6486486486486487,0.918918918918919,0.2702702702702703,0.6652777777777779,0.9177018633540373,0.2524240855762594,0.7972222222222222,0.9166666666666666,0.11944444444444446
densenet121,224,fine_tune_all,False,/scratch/slurm/adriancr/459/tmp/tl-459/code/artifacts/final_model/densenet121_img224_final.keras,0.4933333333333333,0.8931524547803618,0.39981912144702847,0.6421621621621622,0.8671974299881277,0.2250352678259655,0.6486486486486487,0.8648648648648649,0.21621621621621623,0.5036764705882353,0.9080086580086579,0.40433218742042265,0.5199494949494949,0.8881313131313131,0.36818181818181817
resnet50,224,fine_tune_all,False,/scratch/slurm/adriancr/459/tmp/tl-459/code/artifacts/final_model/resnet50_img224_final.keras,0.5292533659730722,0.8619897959183673,0.3327364299452952,0.706275430877634,0.8568946497517925,0.15061921887415852,0.7027027027027027,0.8648648648648649,0.16216216216216217,0.5273809523809524,0.9537037037037037,0.4263227513227513,0.5320707070707071,0.8166666666666667,0.2845959595959595
resnet101,192,fine_tune_all,False,/scratch/slurm/adriancr/459/tmp/tl-459/code/artifacts/final_model/resnet101_img192_final.keras,0.7847958642629904,0.8565245478036176,0.07172868354062722,0.7405133128887106,0.81521754312452,0.07470423023580941,0.7297297297297297,0.8108108108108109,0.08108108108108114,0.8355263157894737,0.8733766233766234,0.03785030758714969,0.7762626262626262,0.848989898989899,0.07272727272727275
mobilenetv2,192,fine_tune_last,False,/scratch/slurm/adriancr/459/tmp/tl-459/code/artifacts/final_model/mobilenetv2_img192_final.keras,0.7280797101449276,0.8544657097288676,0.12638599958394003,0.7642577359968665,0.8624940730203887,0.09823633702352219,0.7567567567567568,0.8648648648648649,0.10810810810810811,0.7400793650793651,0.8647727272727272,0.12469336219336213,0.804040404040404,0.8494949494949495,0.045454545454545525
resnet50,192,fine_tune_all,False,/scratch/slurm/adriancr/459/tmp/tl-459/code/artifacts/final_model/resnet50_img192_final.keras,0.5948966408268734,0.8541239462292094,0.25922730540233596,0.7605349535582094,0.8708195550300812,0.1102846014718718,0.7567567567567568,0.8648648648648649,0.10810810810810811,0.6114718614718615,0.8416666666666666,0.23019480519480506,0.5876262626262626,0.8717171717171717,0.28409090909090906
efficientnetb3,224,fine_tune_last,False,/scratch/slurm/adriancr/459/tmp/tl-459/code/artifacts/final_model/efficientnetb3_img224_final.keras,0.8110119047619048,0.8526515151515152,0.04163961038961039,0.8231981981981983,0.8626945126945127,0.03949631449631441,0.8108108108108109,0.8648648648648649,0.05405405405405406,0.8511363636363636,0.8592132505175983,0.008076886881234757,0.8547979797979799,0.8553030303030303,0.0005050505050504528
mobilenetv3large,192,fine_tune_last,False,/scratch/slurm/adriancr/459/tmp/tl-459/code/artifacts/final_model/mobilenetv3large_img192_final.keras,0.40025252525252525,0.8355614973262032,0.43530897207367797,0.5305760305760305,0.8375487787252494,0.3069727481492188,0.5135135135135135,0.8378378378378378,0.32432432432432434,0.4010989010989011,0.8314393939393939,0.4303404928404928,0.4303030303030303,0.8439393939393939,0.4136363636363636
